,phrase,label,sentiment,subjectivity,language,count
Vulkan,Vulkan,ORG,-0.07999999999999999,0.0,de,7.499999999999999
Indonesischer Vulkan,Indonesischer Vulkan,ORG,0.75,0.0,de,4.0
GEO,GEO,ORG,1.081081081081081,0.0,de,3.7
nationale italienische …,nationale italienische …,ORG,-0.8076923076923075,0.0,de,2.6
+++McLaren-Fahrer,+++McLaren-Fahrer,ORG,0.0,0.0,de,2.6
nationale italienische Institut für G…,nationale italienische Institut für G…,ORG,0.0,0.0,de,2.1
indonesische Vulkan,indonesische Vulkan,ORG,0.0,0.0,de,2.0
"Gnabry
+++WM in Gefahr","Gnabry
+++WM in Gefahr",ORG,0.0,0.0,de,1.9
Mie­te­r,Mie­te­r,ORG,0.0,0.0,de,1.9
https://epaper.welt.de,https://epaper.welt.de,ORG,0.0,0.0,de,1.8
INGV,INGV,ORG,0.0,0.0,de,1.8
Krafla-Vulkan,Krafla-Vulkan,ORG,0.0,0.0,de,1.3
TTS-Player,TTS-Player,ORG,0.0,0.0,de,1.3
ei…,ei…,ORG,0.3333333333333333,0.0,de,1.0
Teide Vulkan,Teide Vulkan,ORG,0.7,0.0,de,1.0
Teneriffas Vulkan,Teneriffas Vulkan,ORG,0.0,0.0,de,1.0
Sonne lacht und frühlingshafte T-Shirt-Temperaturen,Sonne lacht und frühlingshafte T-Shirt-Temperaturen,ORG,1.0,0.0,de,1.0
wi…,wi…,ORG,0.0,0.0,de,1.0
Aschesäule,Aschesäule,ORG,0.3333333333333333,0.0,de,1.0
nationalen Instituts für Geophysik und V…,nationalen Instituts für Geophysik und V…,ORG,0.0,0.0,de,1.0
Reisterrassen & Inseltraum Gili,Reisterrassen & Inseltraum Gili,ORG,0.7,0.0,de,1.0
Reuters,Reuters,ORG,0.0,0.0,de,1.0
Montag sc…,Montag sc…,ORG,0.0,0.0,de,1.0
Pascal Kiss,Pascal Kiss,ORG,0.0,0.0,de,1.0
Pax Romana,Pax Romana,ORG,0.7,0.0,de,1.0
europäische…,europäische…,ORG,0.0,0.0,de,1.0
europäische Raumfahrtbehörde,europäische Raumfahrtbehörde,ORG,1.0,0.0,de,1.0
ESA,ESA,ORG,1.0,0.0,de,1.0
europäischen…,europäischen…,ORG,0.0,0.0,de,1.0
Europas,Europas,ORG,-0.5,0.0,de,1.0
Bayerns Nationa,Bayerns Nationa,ORG,0.0,0.0,de,1.0
Vulkanlandschaften…,Vulkanlandschaften…,ORG,0.0,0.0,de,1.0
Aktion,Aktion,ORG,0.7,0.0,de,1.0
US Geological Survey,US Geological Survey,ORG,0.0,0.0,de,1.0
picture alliance,picture alliance,ORG,0.0,0.0,de,1.0
Behörd…,Behörd…,ORG,0.0,0.0,de,1.0
Buchmesse,Buchmesse,ORG,0.0,0.0,de,1.0
Sentinel-2,Sentinel-2,ORG,0.0,0.0,de,1.0
indonesischem Vulkan,indonesischem Vulkan,ORG,0.0,0.0,de,1.0
Kat…,Kat…,ORG,-0.7,0.0,de,1.0
01.12.2025,01.12.2025,ORG,0.0,0.0,de,1.0
Vulkan-Hike & Einblicke,Vulkan-Hike & Einblicke,ORG,0.0,0.0,de,1.0
Addis Abeba,Addis Abeba,ORG,0.0,0.0,de,1.0
Anadolu,Anadolu,ORG,0.0,0.0,de,1.0
Vulkangruppe,Vulkangruppe,ORG,0.0,0.0,de,1.0
kei,kei,ORG,0.0,0.0,de,1.0
Catania,Catania,ORG,0.0,0.0,de,1.0
Mittelmeeri…,Mittelmeeri…,ORG,0.0,0.0,de,1.0
nationale italienische Institut für Geophysik und Vulkanologie,nationale italienische Institut für Geophysik und Vulkanologie,ORG,0.0,0.0,de,1.0
Rai News veröffentli…,Rai News veröffentli…,ORG,0.0,0.0,de,1.0
Italiens Nationales Institut für Geophysik und Vulkanol…,Italiens Nationales Institut für Geophysik und Vulkanol…,ORG,0.0,0.0,de,1.0
Gruppe Vulkan,Gruppe Vulkan,ORG,0.0,0.0,de,1.0
Brandstifter …,Brandstifter …,ORG,0.7,0.0,de,1.0
Xbox!,Xbox!,ORG,-1.0,0.0,de,1.0
