keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Vulkan Aschewolke',-0.25892180533635417,1.3011572619651164,0.1893985671329451,1.024689910031052,11.0
'Vulkan Eruption',-0.13672337814913113,1.336090920297962,-0.47882983688381203,0.02098991144380389,6.0
'Vulkan Evakuierung',-0.05495063071518508,0.7974238282821767,0.8667545461966143,1.6531571289199467,5.0
'Vulkan Flughafen',-7.314236392868126e-17,1.0,-0.408248290463863,1.0,1.0
'Vulkan Lava',0.09502652610572825,0.6226037347837284,-0.20599961893624377,0.4912524296711218,7.0
'Vulkan Warnstufe',0.0848530930682369,0.6908845362751698,-0.4379041928442638,0.03702797971460073,9.0
'Vulkan Warnung',0.05105679439323572,0.9950151421095615,0.4907858866316897,1.0,5.0
'Vulkan ausgebrochen',0.10887009799698588,0.7198943934491004,0.19310888902649273,1.1629335145849782,18.0
'Vulkan',0.10797136954987557,0.8882742984459728,-0.43481031113893864,0.03174614622655672,11.0
'Vulkanausbruch',-0.016423407629346222,0.9861343792459305,0.13785953123736375,0.9822607080285367,14.0
