,phrase,label,sentiment,subjectivity,language,count
indonesischen,indonesischen,MISC,,,de,13.900000000000004
italienischen,italienischen,MISC,,,de,9.600000000000001
"Link
","Link
",MISC,,,de,8.2
“,“,MISC,,,de,6.299999999999999
Java,Java,MISC,-0.023333333333333327,0.033333333333333326,de,4.4
stern+statt,stern+statt,MISC,,,de,3.7
Capital</li><li>4,Capital</li><li>4,MISC,,,de,3.7
Video,Video,MISC,,,de,3.7
stern+,stern+,MISC,,,de,3.7
Feuerberg auf Java,Feuerberg auf Java,MISC,,,de,3.4000000000000004
Anno 117,Anno 117,MISC,,,de,3.3999999999999995
Zeit,Zeit,MISC,,,de,3.0999999999999996
französischen,französischen,MISC,,,de,2.1
Ätna,Ätna,MISC,0.0,0.0,de,2.1
Indonesischer,Indonesischer,MISC,,,de,2.0
Deutsche,Deutsche,MISC,,,de,1.9
Into the Fire,Into the Fire,MISC,,,de,1.9
philippinischen,philippinischen,MISC,,,de,1.9
ePaper,ePaper,MISC,,,de,1.8
Afar,Afar,MISC,0.0,0.0,de,1.8
Videos,Videos,MISC,,,de,1.8
Semeru auf Java,Semeru auf Java,MISC,,,de,1.8
Anno-DLC,Anno-DLC,MISC,,,de,1.3
Scenic Eclipse,Scenic Eclipse,MISC,,,de,1.3
römische,römische,MISC,,,de,1.3
isländischen,isländischen,MISC,,,de,1.3
DLC,DLC,MISC,,,de,1.3
Berliner,Berliner,MISC,,,de,1.0
Tages,Tages,MISC,,,de,1.0
DLC-Details,DLC-Details,MISC,,,de,1.0
Aschesäule“,Aschesäule“,MISC,,,de,1.0
Lithium-Hunger,Lithium-Hunger,MISC,,,de,1.0
e…,e…,MISC,,,de,1.0
Lewotobi Laki-Laki,Lewotobi Laki-Laki,MISC,-0.07777777777777778,0.0,de,1.0
Lava,Lava,MISC,0.15555555555555556,0.0,de,1.0
Vulkangruppen“,Vulkangruppen“,MISC,,,de,1.0
Tagen v…,Tagen v…,MISC,,,de,1.0
Anno 117 könnt,Anno 117 könnt,MISC,,,de,1.0
Asche,Asche,MISC,,,de,1.0
spanischen,spanischen,MISC,,,de,1.0
hawaiianischen,hawaiianischen,MISC,,,de,1.0
Halemaumau-Krater,Halemaumau-Krater,MISC,,,de,1.0
Indymedia,Indymedia,MISC,,,de,1.0
DLCs,DLCs,MISC,,,de,1.0
Erdbeben bis zur Stärke,Erdbeben bis zur Stärke,MISC,,,de,1.0
Klage gegen DW,Klage gegen DW,MISC,,,de,1.0
Koff…,Koff…,MISC,,,de,1.0
DLC-Update,DLC-Update,MISC,,,de,1.0
Pax Romana,Pax Romana,MISC,-1.0,0.0,de,1.0
Mount Dukono... +++WM in Gefahr,Mount Dukono... +++WM in Gefahr,MISC,,,de,1.0
Anno 1800,Anno 1800,MISC,,,de,1.0
DLC-Erweiterung,DLC-Erweiterung,MISC,,,de,1.0
Die Vulkan-Erweiterung,Die Vulkan-Erweiterung,MISC,,,de,1.0
Ei…,Ei…,MISC,,,de,1.0
Europäischer,Europäischer,MISC,,,de,1.0
Die Verheißung des Vulkans,Die Verheißung des Vulkans,MISC,,,de,1.0
Download-Erweiterung,Download-Erweiterung,MISC,,,de,1.0
Content-Paket,Content-Paket,MISC,,,de,1.0
"Vulkan""-DLC","Vulkan""-DLC",MISC,,,de,1.0
Anno 117 Pax Romana,Anno 117 Pax Romana,MISC,,,de,1.0
Winzige Aschereste,Winzige Aschereste,MISC,,,de,1.0
Vulkane,Vulkane,MISC,-0.38888888888888884,0.0,de,1.0
italienische,italienische,MISC,,,de,1.0
Ber…,Ber…,MISC,,,de,1.0
F.A.Z.-Stand,F.A.Z.-Stand,MISC,,,de,1.0
Rote Warnung auf Sizilien - Ätna,Rote Warnung auf Sizilien - Ätna,MISC,,,de,1.0
Der Tag vor dem Inferno,Der Tag vor dem Inferno,MISC,,,de,1.0
Minamidake-Krater,Minamidake-Krater,MISC,,,de,1.0
Ready to Hang with Orangutans,Ready to Hang with Orangutans,MISC,,,de,1.0
Wild Sumatra,Wild Sumatra,MISC,,,de,1.0
Vesuv im Jahr 79 n.,Vesuv im Jahr 79 n.,MISC,,,de,1.0
iranischen,iranischen,MISC,,,de,1.0
Ur…,Ur…,MISC,,,de,1.0
europäische,europäische,MISC,,,de,1.0
indonesischer,indonesischer,MISC,,,de,1.0
Warnstufe …,Warnstufe …,MISC,,,de,1.0
Klauea-Vulkan,Klauea-Vulkan,MISC,,,de,1.0
Reuters28.12.2025,Reuters28.12.2025,MISC,,,de,1.0
Kīlauea-Vulkan,Kīlauea-Vulkan,MISC,,,de,1.0
Vulnado“,Vulnado“,MISC,,,de,1.0
kolumbianischen,kolumbianischen,MISC,,,de,1.0
kolumbianische,kolumbianische,MISC,,,de,1.0
Armero,Armero,MISC,0.0,0.0,de,1.0
Vul...,Vul...,MISC,,,de,1.0
Meine Frau,Meine Frau,MISC,,,de,1.0
Asche gen …,Asche gen …,MISC,,,de,1.0
"Airline
","Airline
",MISC,,,de,1.0
T…,T…,MISC,,,de,1.0
Aschewolke“,Aschewolke“,MISC,,,de,1.0
Videos und Satellitenbilder,Videos und Satellitenbilder,MISC,,,de,1.0
"Hawaii
","Hawaii
",MISC,,,de,1.0
Der Vulkan Ätna,Der Vulkan Ätna,MISC,,,de,1.0
urlaubsreif,urlaubsreif,MISC,,,de,1.0
Gut vier Jahre nach der verheerenden Ahrflut,Gut vier Jahre nach der verheerenden Ahrflut,MISC,,,de,1.0
Deutschen,Deutschen,MISC,,,de,1.0
Ascheregen auf Sizilien,Ascheregen auf Sizilien,MISC,,,de,1.0
"Zombie""-Vulkan","Zombie""-Vulkan",MISC,,,de,1.0
IP-Adresse…,IP-Adresse…,MISC,,,de,1.0
au…,au…,MISC,,,de,1.0
hefti…,hefti…,MISC,,,de,1.0
weiterlesenDer Lake Toba,weiterlesenDer Lake Toba,MISC,,,de,1.0
Lavamasse,Lavamasse,MISC,,,de,1.0
Pest,Pest,MISC,,,de,1.0
Schwarzen Tod,Schwarzen Tod,MISC,,,de,1.0
Fatale KettenreaktionVulkanausbruch,Fatale KettenreaktionVulkanausbruch,MISC,,,de,1.0
12.000 Jahre Ruhe,12.000 Jahre Ruhe,MISC,,,de,1.0
X,X,MISC,,,de,1.0
Spielv…,Spielv…,MISC,,,de,1.0
